folder	file	element_id	chapitre	seance	type
chapitre-09-arithmetique-dans-Z	seance-9-1-2-exercices-partie1.txt	134248	Chapitre 9 : Arithmétique dans ℤ	Séance 9-1-2 : Arithmétique dans ℤ - Partie 1 (Exercices)	Exercices
chapitre-09-arithmetique-dans-Z	seance-9-2-1-cours-partie2.txt	134234	Chapitre 9 : Arithmétique dans ℤ	Séance 9-2-1 : Arithmétique dans ℤ - Partie 2 (Cours)	Cours
chapitre-09-arithmetique-dans-Z	seance-9-2-2-exercices-partie2.txt	134250	Chapitre 9 : Arithmétique dans ℤ	Séance 9-2-2 : Arithmétique dans ℤ - Partie 2 (Exercices)	Exercices
chapitre-09-arithmetique-dans-Z	seance-9-3-probleme-de-synthese.txt	134255	Chapitre 9 : Arithmétique dans ℤ	Séance 9-3 : Arithmétique dans ℤ - Problème de synthèse	Problème de synthèse
chapitre-10-structures-algebriques	seance-10-1-1-cours-partie1.txt	134788	Chapitre 10 : Structures algébriques	Séance 10-1-1 : Structures algébriques - Partie 1 (Cours)	Cours
chapitre-10-structures-algebriques	seance-10-1-2-exercices-partie1.txt	135031	Chapitre 10 : Structures algébriques	Séance 10-1-2 : Structures algébriques - Partie 1 (Exercices)	Exercices
chapitre-10-structures-algebriques	seance-10-2-1-cours-partie2.txt	134829	Chapitre 10 : Structures algébriques	Séance 10-2-1 : Structures algébriques - Partie 2 (Cours)	Cours
chapitre-10-structures-algebriques	seance-10-2-2-exercices-partie2.txt	135033	Chapitre 10 : Structures algébriques	Séance 10-2-2 : Structures algébriques - Partie 2 (Exercices)	Exercices
chapitre-10-structures-algebriques	seance-10-3-probleme-de-synthese.txt	135035	Chapitre 10 : Structures algébriques	Séance 10-3 : Structures algébriques - Problème de synthèse	Problème de synthèse
chapitre-11-espaces-vectoriels	seance-11-1-cours.txt	135208	Chapitre 11 : Espaces vectoriels	Séance 11-1 : Espaces vectoriels - Cours	Cours
chapitre-11-espaces-vectoriels	seance-11-2-exercices.txt	135266	Chapitre 11 : Espaces vectoriels	Séance 11-2 : Espaces vectoriels - Exercices	Exercices
chapitre-11-espaces-vectoriels	seance-11-3-probleme-de-synthese.txt	135762	Chapitre 11 : Espaces vectoriels	Séance 11-3 : Espaces vectoriels - Problème de synthèse	Problème de synthèse
chapitre-12-calcul-de-probabilites	seance-12-1-1-cours-partie1.txt	136040	Chapitre 12 : Calcul de probabilités	Séance 12-1-1 : Calcul de probabilités - Partie 1 (Cours)	Cours
chapitre-12-calcul-de-probabilites	seance-12-1-2-exercices-partie1.txt	136215	Chapitre 12 : Calcul de probabilités	Séance 12-1-2 : Calcul de probabilités - Partie 1 (Exercices)	Exercices
chapitre-12-calcul-de-probabilites	seance-12-2-1-cours-partie2.txt	136057	Chapitre 12 : Calcul de probabilités	Séance 12-2-1 : Calcul de probabilités - Partie 2 (Cours)	Cours
chapitre-12-calcul-de-probabilites	seance-12-2-2-exercices-partie2.txt	136217	Chapitre 12 : Calcul de probabilités	Séance 12-2-2 : Calcul de probabilités - Partie 2 (Exercices)	Exercices
chapitre-12-calcul-de-probabilites	seance-12-3-probleme-de-synthese.txt	136219	Chapitre 12 : Calcul de probabilités	Séance 12-3 : Calcul de probabilités - Problème de synthèse	Problème de synthèse
devoirs-corriges	devoir-sem1-devoir1-modele1.txt	131979	Devoirs Corrigés	Semestre 1 - Devoir 1 - Modèle 1	Devoir corrigé
devoirs-corriges	devoir-sem1-devoir1-modele2.txt	137652	Devoirs Corrigés	Semestre 1 - Devoir 1 - Modèle 2	Devoir corrigé
devoirs-corriges	devoir-sem1-devoir2-modele1.txt	132728	Devoirs Corrigés	Semestre 1 - Devoir 2 - Modèle 1	Devoir corrigé
devoirs-corriges	devoir-sem1-devoir2-modele2.txt	138684	Devoirs Corrigés	Semestre 1 - Devoir 2 - Modèle 2	Devoir corrigé
devoirs-corriges	devoir-sem1-devoir3-modele1.txt	133280	Devoirs Corrigés	Semestre 1 - Devoir 3 - Modèle 1	Devoir corrigé
devoirs-corriges	devoir-sem2-devoir1-modele1.txt	134999	Devoirs Corrigés	Semestre 2 - Devoir 1 - Modèle 1	Devoir corrigé
devoirs-corriges	devoir-sem2-devoir2-modele1.txt	135699	Devoirs Corrigés	Semestre 2 - Devoir 2 - Modèle 1	Devoir corrigé
devoirs-corriges	devoir-sem2-devoir3-modele1.txt	135701	Devoirs Corrigés	Semestre 2 - Devoir 3 - Modèle 1	Devoir corrigé
